Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::empty,";
;
;
;
;
",,22.74,22.74,0,0,0,0
aten::to,";
;
;
;
;
",,5.69,113.59,0,0,0,0
aten::_to_copy,";
;
;
;
;
;
",,11.69,107.9,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,25.44,32.11,0,0,0,0
empty_tensor,,,6.67,6.67,0,0,0,0
aten::copy_,";
;
",,64.1,64.1,0,0,0,0
aten::lift_fresh,,,4.36,4.36,0,0,0,0
aten::detach_,,,2.83,6.58,0,0,0,0
detach_,,,3.75,3.75,0,0,0,0
aten::to,";
;
;
;
",,4.32,4.32,0,0,0,0
aten::gt,"16384,1;
",,60.62,97.58,0,7.58,0,0
empty_tensor,,,15.81,15.81,0,0,0,0
aclnnGtTensor,,,21.15,21.15,7.58,7.58,0,0
aten::where,"16384,1;
16384,1;
",,44.66,68.67,0,10.32,0,0
empty_tensor,,,12.03,12.03,0,0,0,0
aclnnSWhere,,,11.98,11.98,10.32,10.32,0,0
aten::view,"1024,2048;
",,16.57,16.57,0,0,0,0
aten::sub,"16384,128;
16384,1;
",,24.46,49.67,0,23.68,0,0
empty_tensor,,,12.8,12.8,0,0,0,0
aclnnSub,,,12.41,12.41,23.68,23.68,0,0
aten::mul,"16384,1;
",,40.67,78.08,0,6.2,0,0
empty_tensor,,,17.91,17.91,0,0,0,0
aten::item,,,3.28,7.32,0,0,0,0
aten::_local_scalar_dense,,,4.04,4.04,0,0,0,0
aclnnMuls,,,12.18,12.18,6.2,6.2,0,0
aten::div,"16384,128;
16384,1",,23.81,56.88,0,23.2,0,0
empty_tensor,,,11.13,11.13,0,0,0,0
aclnnDiv,,,21.94,21.94,23.2,23.2,0,0
aten::sub,"16384,128;
;
",,24.78,53.75,0,10.08,0,0
empty_tensor,,,11.87,11.87,0,0,0,0
aten::item,,,2.64,4.62,0,0,0,0
aten::_local_scalar_dense,,,1.98,1.98,0,0,0,0
aclnnSubs,,,12.48,12.48,10.08,10.08,0,0
aten::relu,"16384,128",,24.32,47.24,0,8.84,0,0
empty_tensor,,,13.07,13.07,0,0,0,0
aclnnRelu,,,9.85,9.85,8.84,8.84,0,0
aten::add,"16384,128;
;
",,23.45,53.43,0,12.46,0,0
empty_tensor,,,15.83,15.83,0,0,0,0
aten::item,,,2.55,4.36,0,0,0,0
aten::_local_scalar_dense,,,1.81,1.81,0,0,0,0
aclnnAdds,,,9.79,9.79,12.46,12.46,0,0
aten::rsub,"16384,128;
;
",,21.97,47.63,0,9.72,0,0
empty_tensor,,,11.2,11.2,0,0,0,0
aclnnRsubs,,,14.46,14.46,9.72,9.72,0,0
aten::relu,"16384,128",,22.53,43.1,0,4.62,0,0
empty_tensor,,,11.33,11.33,0,0,0,0
aclnnRelu,,,9.24,9.24,4.62,4.62,0,0
aten::rsub,"16384,128;
;
",,19.79,42.96,0,7.8,0,0
empty_tensor,,,9.28,9.28,0,0,0,0
aclnnRsubs,,,13.89,13.89,7.8,7.8,0,0
aten::mul,"16384,128;
",,41.92,75.21,0,27.759999999999998,0,0
empty_tensor,,,9.74,9.74,0,0,0,0
aten::item,,,2.6,4.36,0,0,0,0
aten::_local_scalar_dense,,,1.76,1.76,0,0,0,0
aclnnMuls,,,19.19,19.19,27.759999999999998,27.759999999999998,0,0
aten::sub,"16384,128;
;
",,23.54,50.96,0,8.2,0,0
empty_tensor,,,9.86,9.86,0,0,0,0
aten::item,,,2.27,7.95,0,0,0,0
aten::_local_scalar_dense,,,5.68,5.68,0,0,0,0
aclnnSubs,,,9.61,9.61,8.2,8.2,0,0
aten::round,"16384,128",,18.26,36.71,0,9.32,0,0
empty_tensor,,,9.39,9.39,0,0,0,0
aclnnRound,,,9.06,9.06,9.32,9.32,0,0
aten::sub,"16384,128;
16384,128;
",,19.31,44.79,0,10.94,0,0
empty_tensor,,,16.4,16.4,0,0,0,0
aclnnSub,,,9.08,9.08,10.94,10.94,0,0
aten::detach,"16384,128",,3.51,8.88,0,0,0,0
detach,"16384,128",,5.37,5.37,0,0,0,0
aten::add,"16384,128;
16384,128;
",,21.33,45.99,0,10.9,0,0
empty_tensor,,,10.63,10.63,0,0,0,0
aclnnAdd,,,14.03,14.03,10.9,10.9,0,0
aten::add,"16384,128;
;
",,21.53,48.29,0,8.02,0,0
empty_tensor,,,9.0,9.0,0,0,0,0
aten::item,,,2.69,8.52,0,0,0,0
aten::_local_scalar_dense,,,5.83,5.83,0,0,0,0
aclnnAdds,,,9.24,9.24,8.02,8.02,0,0
aten::div,"16384,128;
",,23.32,47.62,0,9.62,0,0
empty_tensor,,,10.85,10.85,0,0,0,0
aten::item,,,2.7,4.03,0,0,0,0
aten::_local_scalar_dense,,,1.33,1.33,0,0,0,0
aclnnDivs,,,9.42,9.42,9.62,9.62,0,0
